"LibraryName","SampleID","SRA_Accession","Amplicon","Site","Cultivar","Compartment","Replicate","Time","TreeID"
"1-ASB-CL-FL-1","A_Cortland_Flower_1","SRR28147269","16S","A","Cortland","Flower",1,"May","A_Cortland_1"
"1-ASB-CL-FL-1","A_Cortland_Flower_1","SRR28148449","ITS","A","Cortland","Flower",1,"May","A_Cortland_1"
"1-ASB-CL-FL-2","A_Cortland_Flower_2","SRR28147268","16S","A","Cortland","Flower",2,"May","A_Cortland_2"
"1-ASB-CL-FL-2","A_Cortland_Flower_2","SRR28148448","ITS","A","Cortland","Flower",2,"May","A_Cortland_2"
"1-ASB-CL-FL-3","A_Cortland_Flower_3","SRR28147176","16S","A","Cortland","Flower",3,"May","A_Cortland_3"
"1-ASB-CL-FL-3","A_Cortland_Flower_3","SRR28148418","ITS","A","Cortland","Flower",3,"May","A_Cortland_3"
"1-ASB-CL-FL-4","A_Cortland_Flower_4","SRR28147260","16S","A","Cortland","Flower",4,"May","A_Cortland_4"
"1-ASB-CL-FL-4","A_Cortland_Flower_4","SRR28148407","ITS","A","Cortland","Flower",4,"May","A_Cortland_4"
"1-ASB-CL-FL-5","A_Cortland_Flower_5","SRR28147249","16S","A","Cortland","Flower",5,"May","A_Cortland_5"
"1-ASB-CL-FL-5","A_Cortland_Flower_5","SRR28148377","ITS","A","Cortland","Flower",5,"May","A_Cortland_5"
"1-ASB-CL-LE-1","A_Cortland_Leaf_1","SRR28147167","16S","A","Cortland","Leaf",1,"May","A_Cortland_1"
"1-ASB-CL-LE-1","A_Cortland_Leaf_1","SRR28148366","ITS","A","Cortland","Leaf",1,"May","A_Cortland_1"
"1-ASB-CL-LE-2","A_Cortland_Leaf_2","SRR28147156","16S","A","Cortland","Leaf",2,"May","A_Cortland_2"
"1-ASB-CL-LE-2","A_Cortland_Leaf_2","SRR28148333","ITS","A","Cortland","Leaf",2,"May","A_Cortland_2"
"1-ASB-CL-LE-3","A_Cortland_Leaf_3","SRR28147110","16S","A","Cortland","Leaf",3,"May","A_Cortland_3"
"1-ASB-CL-LE-3","A_Cortland_Leaf_3","SRR28148322","ITS","A","Cortland","Leaf",3,"May","A_Cortland_3"
"1-ASB-CL-LE-4","A_Cortland_Leaf_4","SRR28147099","16S","A","Cortland","Leaf",4,"May","A_Cortland_4"
"1-ASB-CL-LE-4","A_Cortland_Leaf_4","SRR28148291","ITS","A","Cortland","Leaf",4,"May","A_Cortland_4"
"1-ASB-CL-LE-5","A_Cortland_Leaf_5","SRR28147123","16S","A","Cortland","Leaf",5,"May","A_Cortland_5"
"1-ASB-CL-LE-5","A_Cortland_Leaf_5","SRR28148280","ITS","A","Cortland","Leaf",5,"May","A_Cortland_5"
