"SampleID","Shannon","Shannon_SD","LibraryName","SRA_Accession","Amplicon","Site","Cultivar","Compartment","Replicate","Time","TreeID"
"SRR28147094",2.45691394861033,0.0239485467508004,"1-VBS-PR-FL-5","SRR28147094","16S","C","Paulared","Flower",5,"May","C_Paulared_5"
"SRR28147095",1.64919923550882,0.0219879848936816,"1-VBS-PR-FL-4","SRR28147095","16S","C","Paulared","Flower",4,"May","C_Paulared_4"
"SRR28147096",2.08081105416112,0.00659523508541584,"1-VBS-PR-FL-3","SRR28147096","16S","C","Paulared","Flower",3,"May","C_Paulared_3"
"SRR28147097",2.14583625315002,0.0194079686762813,"1-VBS-PR-FL-2","SRR28147097","16S","C","Paulared","Flower",2,"May","C_Paulared_2"
"SRR28147098",2.19463541329302,0.0248761479344593,"1-VBS-PR-FL-1","SRR28147098","16S","C","Paulared","Flower",1,"May","C_Paulared_1"
"SRR28147105",3.31517683396566,0.0154377458155702,"1-VBS-LI-FL-5","SRR28147105","16S","C","Liberty","Flower",5,"May","C_Liberty_5"
"SRR28147106",3.60709259941403,0.016469016116237,"1-VBS-LI-FL-4","SRR28147106","16S","C","Liberty","Flower",4,"May","C_Liberty_4"
"SRR28147107",3.38899588275077,0.0129185738469629,"1-VBS-LI-FL-3","SRR28147107","16S","C","Liberty","Flower",3,"May","C_Liberty_3"
"SRR28147108",3.42203865559,0.0184690757240403,"1-VBS-LI-FL-2","SRR28147108","16S","C","Liberty","Flower",2,"May","C_Liberty_2"
"SRR28147109",4.45829280949339,0.0112146555693456,"1-VBS-LI-FL-1","SRR28147109","16S","C","Liberty","Flower",1,"May","C_Liberty_1"
"SRR28147128",3.04982914928524,0.0213101021189614,"1-ASB-LI-FL-5","SRR28147128","16S","A","Liberty","Flower",5,"May","A_Liberty_5"
"SRR28147139",3.18093113117975,0.0179920775860964,"1-ASB-LI-FL-4","SRR28147139","16S","A","Liberty","Flower",4,"May","A_Liberty_4"
"SRR28147151",1.84988190157864,0.0255934174278529,"1-VBS-CL-FL-5","SRR28147151","16S","C","Cortland","Flower",5,"May","C_Cortland_5"
"SRR28147152",2.50088503812505,0.0234584951268078,"1-VBS-CL-FL-4","SRR28147152","16S","C","Cortland","Flower",4,"May","C_Cortland_4"
"SRR28147153",2.61012965755513,0.0231103113316568,"1-VBS-CL-FL-3","SRR28147153","16S","C","Cortland","Flower",3,"May","C_Cortland_3"
"SRR28147154",2.07605377887268,0.022197639960653,"1-VBS-CL-FL-2","SRR28147154","16S","C","Cortland","Flower",2,"May","C_Cortland_2"
"SRR28147155",2.58877808353267,0.0148473644575487,"1-VBS-CL-FL-1","SRR28147155","16S","C","Cortland","Flower",1,"May","C_Cortland_1"
"SRR28147162",5.24095093071618,0.0108007633289478,"1-PMB-PR-FL-5","SRR28147162","16S","B","Paulared","Flower",5,"May","B_Paulared_5"
"SRR28147163",4.47502233932475,0.0188272318187974,"1-PMB-PR-FL-4","SRR28147163","16S","B","Paulared","Flower",4,"May","B_Paulared_4"
"SRR28147164",4.88844867336827,0.0132588929393653,"1-PMB-PR-FL-3","SRR28147164","16S","B","Paulared","Flower",3,"May","B_Paulared_3"
"SRR28147165",4.8039307901731,0.0123773268881585,"1-PMB-PR-FL-2","SRR28147165","16S","B","Paulared","Flower",2,"May","B_Paulared_2"
"SRR28147166",4.50263349425973,0.0118292624317512,"1-PMB-PR-FL-1","SRR28147166","16S","B","Paulared","Flower",1,"May","B_Paulared_1"
"SRR28147172",4.13683469809091,0.0101081222703234,"1-ASB-PR-FL-4","SRR28147172","16S","A","Paulared","Flower",4,"May","A_Paulared_4"
