"SampleID","Shannon","Shannon_SD","LibraryName","SRA_Accession","Amplicon","Site","Cultivar","Compartment","Replicate","Time","TreeID"
"SRR28147089",2.08445141218827,0.0309444499342265,"1-VBS-PR-LE-5","SRR28147089","16S","C","Paulared","Leaf",5,"May","C_Paulared_5"
"SRR28147090",2.3714230835269,0.0293630908765716,"1-VBS-PR-LE-4","SRR28147090","16S","C","Paulared","Leaf",4,"May","C_Paulared_4"
"SRR28147091",2.38011538805297,0.0309679990518706,"1-VBS-PR-LE-3","SRR28147091","16S","C","Paulared","Leaf",3,"May","C_Paulared_3"
"SRR28147092",1.97023626676595,0.0390171564410615,"1-VBS-PR-LE-2","SRR28147092","16S","C","Paulared","Leaf",2,"May","C_Paulared_2"
"SRR28147093",2.80024960741497,0.0266148258926442,"1-VBS-PR-LE-1","SRR28147093","16S","C","Paulared","Leaf",1,"May","C_Paulared_1"
"SRR28147099",4.2477894848238,0.0111959130698107,"1-ASB-CL-LE-4","SRR28147099","16S","A","Cortland","Leaf",4,"May","A_Cortland_4"
"SRR28147100",2.76118083218459,0.0222055188959244,"1-VBS-LI-LE-5","SRR28147100","16S","C","Liberty","Leaf",5,"May","C_Liberty_5"
"SRR28147101",3.02038103584746,0.0231693572497691,"1-VBS-LI-LE-4","SRR28147101","16S","C","Liberty","Leaf",4,"May","C_Liberty_4"
"SRR28147102",3.21709545991333,0.0339523500098136,"1-VBS-LI-LE-3","SRR28147102","16S","C","Liberty","Leaf",3,"May","C_Liberty_3"
"SRR28147103",3.3269825735117,0.0186560690481563,"1-VBS-LI-LE-2","SRR28147103","16S","C","Liberty","Leaf",2,"May","C_Liberty_2"
"SRR28147104",3.10809741507233,0.0242661036518976,"1-VBS-LI-LE-1","SRR28147104","16S","C","Liberty","Leaf",1,"May","C_Liberty_1"
"SRR28147110",3.03750594872703,0.0326210834471422,"1-ASB-CL-LE-3","SRR28147110","16S","A","Cortland","Leaf",3,"May","A_Cortland_3"
"SRR28147111",2.13140257486296,0.0302064949587854,"1-VBS-CL-LE-5","SRR28147111","16S","C","Cortland","Leaf",5,"May","C_Cortland_5"
"SRR28147112",2.19317174880001,0.0310055658571344,"1-VBS-CL-LE-4","SRR28147112","16S","C","Cortland","Leaf",4,"May","C_Cortland_4"
"SRR28147113",2.68825213476859,0.0281980455605222,"2-ASB-LI-LE-5","SRR28147113","16S","A","Liberty","Leaf",5,"July","A_Liberty_5"
"SRR28147114",5.0485882544324,0.0177835881865629,"2-ASB-LI-LE-4","SRR28147114","16S","A","Liberty","Leaf",4,"July","A_Liberty_4"
"SRR28147115",5.11062650344257,0.0051420143041046,"2-ASB-LI-LE-3","SRR28147115","16S","A","Liberty","Leaf",3,"July","A_Liberty_3"
"SRR28147116",4.0082213883594,0.0182214098591372,"2-ASB-LI-LE-2","SRR28147116","16S","A","Liberty","Leaf",2,"July","A_Liberty_2"
"SRR28147117",3.89643945781427,0.0197017064159394,"2-ASB-LI-LE-1","SRR28147117","16S","A","Liberty","Leaf",1,"July","A_Liberty_1"
"SRR28147118",4.53873815789108,0.0167637878048764,"2-ASB-CL-LE-5","SRR28147118","16S","A","Cortland","Leaf",5,"July","A_Cortland_5"
"SRR28147119",4.14597673255586,0.0198109094245449,"2-ASB-CL-LE-4","SRR28147119","16S","A","Cortland","Leaf",4,"July","A_Cortland_4"
"SRR28147120",4.24644831438925,0.0155193049698612,"2-ASB-CL-LE-3","SRR28147120","16S","A","Cortland","Leaf",3,"July","A_Cortland_3"
"SRR28147121",4.17916188074312,0.0202586092731788,"2-ASB-CL-LE-2","SRR28147121","16S","A","Cortland","Leaf",2,"July","A_Cortland_2"
"SRR28147122",4.19216816042436,0.0195658905817487,"2-ASB-CL-LE-1","SRR28147122","16S","A","Cortland","Leaf",1,"July","A_Cortland_1"
"SRR28147123",4.48043918929773,0.0155198502012773,"1-ASB-CL-LE-5","SRR28147123","16S","A","Cortland","Leaf",5,"May","A_Cortland_5"
"SRR28147124",3.61158442074159,0.0222744371791667,"3-ASB-LI-LE-4","SRR28147124","16S","A","Liberty","Leaf",4,"August","A_Liberty_4"
"SRR28147125",4.21228265207901,0.023703525813346,"3-ASB-LI-LE-3","SRR28147125","16S","A","Liberty","Leaf",3,"August","A_Liberty_3"
"SRR28147126",3.54870864581997,0.017453880326565,"3-ASB-LI-LE-2","SRR28147126","16S","A","Liberty","Leaf",2,"August","A_Liberty_2"
"SRR28147127",3.04867824622243,0.0188613734358028,"3-ASB-LI-LE-1","SRR28147127","16S","A","Liberty","Leaf",1,"August","A_Liberty_1"
"SRR28147129",3.45470446711052,0.019634762484734,"3-ASB-CL-LE-5","SRR28147129","16S","A","Cortland","Leaf",5,"August","A_Cortland_5"
"SRR28147130",3.3525789175092,0.0158774381804691,"3-ASB-CL-LE-4","SRR28147130","16S","A","Cortland","Leaf",4,"August","A_Cortland_4"
"SRR28147131",3.48559698276512,0.0215125805159929,"3-ASB-CL-LE-3","SRR28147131","16S","A","Cortland","Leaf",3,"August","A_Cortland_3"
"SRR28147132",3.45882851779434,0.0173428023947875,"3-ASB-CL-LE-2","SRR28147132","16S","A","Cortland","Leaf",2,"August","A_Cortland_2"
"SRR28147133",3.51411155271498,0.0224631904831906,"3-ASB-CL-LE-1","SRR28147133","16S","A","Cortland","Leaf",1,"August","A_Cortland_1"
"SRR28147134",2.79169893429005,0.0243078984649007,"2-VBS-PR-LE-5","SRR28147134","16S","C","Paulared","Leaf",5,"July","C_Paulared_5"
"SRR28147135",3.38683143148371,0.0177720925441236,"2-VBS-PR-LE-4","SRR28147135","16S","C","Paulared","Leaf",4,"July","C_Paulared_4"
"SRR28147136",3.44588633415663,0.0207473778102954,"2-VBS-PR-LE-3","SRR28147136","16S","C","Paulared","Leaf",3,"July","C_Paulared_3"
"SRR28147137",3.29981914958529,0.0208754888813144,"2-VBS-PR-LE-2","SRR28147137","16S","C","Paulared","Leaf",2,"July","C_Paulared_2"
"SRR28147138",3.57853140266634,0.0207348654692844,"2-VBS-PR-LE-1","SRR28147138","16S","C","Paulared","Leaf",1,"July","C_Paulared_1"
"SRR28147140",3.3687224402806,0.0220690685339537,"2-VBS-LI-LE-5","SRR28147140","16S","C","Liberty","Leaf",5,"July","C_Liberty_5"
"SRR28147141",3.19456078082523,0.0245207249536285,"2-VBS-LI-LE-4","SRR28147141","16S","C","Liberty","Leaf",4,"July","C_Liberty_4"
"SRR28147142",3.33831624494318,0.0285760641223226,"2-VBS-LI-LE-3","SRR28147142","16S","C","Liberty","Leaf",3,"July","C_Liberty_3"
"SRR28147143",3.44349265543215,0.0228183372582783,"2-VBS-LI-LE-2","SRR28147143","16S","C","Liberty","Leaf",2,"July","C_Liberty_2"
"SRR28147144",3.19392728292537,0.020950947362309,"2-VBS-LI-LE-1","SRR28147144","16S","C","Liberty","Leaf",1,"July","C_Liberty_1"
"SRR28147145",3.22126554489758,0.020224073014316,"2-VBS-CL-LE-5","SRR28147145","16S","C","Cortland","Leaf",5,"July","C_Cortland_5"
"SRR28147146",3.30185666616726,0.00251786428360973,"2-VBS-CL-LE-4","SRR28147146","16S","C","Cortland","Leaf",4,"July","C_Cortland_4"
"SRR28147147",3.16779955553593,0.0223436650301218,"2-VBS-CL-LE-3","SRR28147147","16S","C","Cortland","Leaf",3,"July","C_Cortland_3"
"SRR28147148",1.43547061764948,0.0270484715885033,"1-VBS-CL-LE-3","SRR28147148","16S","C","Cortland","Leaf",3,"May","C_Cortland_3"
"SRR28147149",1.71639355579909,0.0342792020865628,"1-VBS-CL-LE-2","SRR28147149","16S","C","Cortland","Leaf",2,"May","C_Cortland_2"
"SRR28147150",1.71212883828788,0.0266069064976978,"1-VBS-CL-LE-1","SRR28147150","16S","C","Cortland","Leaf",1,"May","C_Cortland_1"
"SRR28147156",3.72144943861798,0.0225773282346967,"1-ASB-CL-LE-2","SRR28147156","16S","A","Cortland","Leaf",2,"May","A_Cortland_2"
"SRR28147157",4.94403380596941,0.0180657262175714,"1-PMB-PR-LE-5","SRR28147157","16S","B","Paulared","Leaf",5,"May","B_Paulared_5"
"SRR28147158",4.20438510982429,0.0216857305883248,"1-PMB-PR-LE-4","SRR28147158","16S","B","Paulared","Leaf",4,"May","B_Paulared_4"
"SRR28147159",3.87459036715661,0.0192809834937258,"1-PMB-PR-LE-3","SRR28147159","16S","B","Paulared","Leaf",3,"May","B_Paulared_3"
"SRR28147160",4.31104176697966,0.01437484097121,"1-PMB-PR-LE-2","SRR28147160","16S","B","Paulared","Leaf",2,"May","B_Paulared_2"
"SRR28147161",3.95704563317454,0.0213279280298112,"1-PMB-PR-LE-1","SRR28147161","16S","B","Paulared","Leaf",1,"May","B_Paulared_1"
"SRR28147167",3.94280227906684,0.0195432074680263,"1-ASB-CL-LE-1","SRR28147167","16S","A","Cortland","Leaf",1,"May","A_Cortland_1"
"SRR28147168",4.28213483272233,0.0195807918166857,"1-PMB-LI-LE-5","SRR28147168","16S","B","Liberty","Leaf",5,"May","B_Liberty_5"
"SRR28147169",3.87591061761443,0.0227169712066078,"1-PMB-LI-LE-4","SRR28147169","16S","B","Liberty","Leaf",4,"May","B_Liberty_4"
"SRR28147170",4.2060870818584,0.0187704129920007,"1-PMB-LI-LE-3","SRR28147170","16S","B","Liberty","Leaf",3,"May","B_Liberty_3"
"SRR28147171",4.24836864052943,0.0234078082893289,"1-PMB-LI-LE-2","SRR28147171","16S","B","Liberty","Leaf",2,"May","B_Liberty_2"
"SRR28147177",3.40627464689587,0.0287843638485016,"1-ASB-LI-LE-5","SRR28147177","16S","A","Liberty","Leaf",5,"May","A_Liberty_5"
"SRR28147179",3.68969823963111,0.0307634891247157,"1-ASB-LI-LE-4","SRR28147179","16S","A","Liberty","Leaf",4,"May","A_Liberty_4"
"SRR28147181",3.01378154767884,0.0235671814486007,"3-VBS-PR-LE-5","SRR28147181","16S","C","Paulared","Leaf",5,"August","C_Paulared_5"
"SRR28147182",3.26718192283255,0.0221538093044916,"3-VBS-PR-LE-3","SRR28147182","16S","C","Paulared","Leaf",3,"August","C_Paulared_3"
"SRR28147183",3.11872413459185,0.0209769190165055,"3-VBS-PR-LE-2","SRR28147183","16S","C","Paulared","Leaf",2,"August","C_Paulared_2"
"SRR28147184",2.97285983505511,0.0200943280974228,"3-VBS-PR-LE-1","SRR28147184","16S","C","Paulared","Leaf",1,"August","C_Paulared_1"
