"SampleID","Shannon","Shannon_SD","LibraryName","SRA_Accession","Amplicon","Site","Cultivar","Compartment","Replicate","Time","TreeID"
"SRR28148286",3.19532655414213,0.017268974382789,"1-VBS-PR-FL-5","SRR28148286","ITS","C","Paulared","Flower",5,"May","C_Paulared_5"
"SRR28148287",3.0537628826574,0.0168322709729155,"1-VBS-PR-FL-4","SRR28148287","ITS","C","Paulared","Flower",4,"May","C_Paulared_4"
"SRR28148288",3.13270889198903,0.00870557329826064,"1-VBS-PR-FL-3","SRR28148288","ITS","C","Paulared","Flower",3,"May","C_Paulared_3"
"SRR28148289",3.05585770458659,0.0117267271738995,"1-VBS-PR-FL-2","SRR28148289","ITS","C","Paulared","Flower",2,"May","C_Paulared_2"
"SRR28148290",3.27583884394922,0.0116658839251525,"1-VBS-PR-FL-1","SRR28148290","ITS","C","Paulared","Flower",1,"May","C_Paulared_1"
"SRR28148317",3.75348132929314,0.0161320068113679,"1-VBS-LI-FL-5","SRR28148317","ITS","C","Liberty","Flower",5,"May","C_Liberty_5"
"SRR28148319",3.18844130168339,0.0151095307684826,"1-VBS-LI-FL-3","SRR28148319","ITS","C","Liberty","Flower",3,"May","C_Liberty_3"
"SRR28148320",3.41707289280542,0.0253354726441526,"1-VBS-LI-FL-2","SRR28148320","ITS","C","Liberty","Flower",2,"May","C_Liberty_2"
"SRR28148321",3.02594588751699,0.0179045770343417,"1-VBS-LI-FL-1","SRR28148321","ITS","C","Liberty","Flower",1,"May","C_Liberty_1"
"SRR28148328",2.6482823955489,0.0230450399184595,"1-VBS-CL-FL-5","SRR28148328","ITS","C","Cortland","Flower",5,"May","C_Cortland_5"
"SRR28148329",3.33200390273255,0.0143692736183488,"1-VBS-CL-FL-4","SRR28148329","ITS","C","Cortland","Flower",4,"May","C_Cortland_4"
"SRR28148330",3.34488099078801,0.0129540899066454,"1-VBS-CL-FL-3","SRR28148330","ITS","C","Cortland","Flower",3,"May","C_Cortland_3"
"SRR28148331",3.2915649523322,0.0209777361285416,"1-VBS-CL-FL-2","SRR28148331","ITS","C","Cortland","Flower",2,"May","C_Cortland_2"
"SRR28148332",3.42390620218357,0.0200206159581931,"1-VBS-CL-FL-1","SRR28148332","ITS","C","Cortland","Flower",1,"May","C_Cortland_1"
"SRR28148354",3.28610601224412,0.0215168537747447,"1-ASB-LI-FL-5","SRR28148354","ITS","A","Liberty","Flower",5,"May","A_Liberty_5"
"SRR28148361",2.63323188282743,0.0231563401624334,"1-PMB-PR-FL-5","SRR28148361","ITS","B","Paulared","Flower",5,"May","B_Paulared_5"
"SRR28148362",2.85806202936205,0.0218223308783839,"1-PMB-PR-FL-4","SRR28148362","ITS","B","Paulared","Flower",4,"May","B_Paulared_4"
"SRR28148363",2.82935523744668,0.0203955423446095,"1-PMB-PR-FL-3","SRR28148363","ITS","B","Paulared","Flower",3,"May","B_Paulared_3"
"SRR28148364",2.99250523443601,0.0231824074319246,"1-PMB-PR-FL-2","SRR28148364","ITS","B","Paulared","Flower",2,"May","B_Paulared_2"
"SRR28148365",2.93416051009584,0.0190545115745779,"1-PMB-PR-FL-1","SRR28148365","ITS","B","Paulared","Flower",1,"May","B_Paulared_1"
"SRR28148372",2.95634186794786,0.0248198860659614,"1-PMB-LI-FL-5","SRR28148372","ITS","B","Liberty","Flower",5,"May","B_Liberty_5"
"SRR28148373",3.02860743511638,0.0266174607161169,"1-PMB-LI-FL-4","SRR28148373","ITS","B","Liberty","Flower",4,"May","B_Liberty_4"
"SRR28148374",2.4369856961602,0.0232021720405683,"1-PMB-LI-FL-3","SRR28148374","ITS","B","Liberty","Flower",3,"May","B_Liberty_3"
"SRR28148375",2.40722703547099,0.0240371576249857,"1-PMB-LI-FL-2","SRR28148375","ITS","B","Liberty","Flower",2,"May","B_Liberty_2"
"SRR28148376",2.81420706220182,0.0201044129329896,"1-PMB-LI-FL-1","SRR28148376","ITS","B","Liberty","Flower",1,"May","B_Liberty_1"
"SRR28148377",3.30904616607125,0.017850457531609,"1-ASB-CL-FL-5","SRR28148377","ITS","A","Cortland","Flower",5,"May","A_Cortland_5"
"SRR28148390",3.03563703552938,0.0200350747831084,"1-ASB-LI-FL-4","SRR28148390","ITS","A","Liberty","Flower",4,"May","A_Liberty_4"
"SRR28148400",2.93980496875584,0.0197461779595419,"1-ASB-LI-FL-3","SRR28148400","ITS","A","Liberty","Flower",3,"May","A_Liberty_3"
"SRR28148402",2.38898904804604,0.0218152849142257,"1-PMB-CL-FL-5","SRR28148402","ITS","B","Cortland","Flower",5,"May","B_Cortland_5"
"SRR28148403",2.86098048453696,0.0200598400109357,"1-PMB-CL-FL-4","SRR28148403","ITS","B","Cortland","Flower",4,"May","B_Cortland_4"
"SRR28148404",2.79985560447774,0.0302070889710936,"1-PMB-CL-FL-3","SRR28148404","ITS","B","Cortland","Flower",3,"May","B_Cortland_3"
"SRR28148405",2.26966729077503,0.0196657773392846,"1-PMB-CL-FL-2","SRR28148405","ITS","B","Cortland","Flower",2,"May","B_Cortland_2"
"SRR28148406",2.96955960935886,0.0222992395796279,"1-PMB-CL-FL-1","SRR28148406","ITS","B","Cortland","Flower",1,"May","B_Cortland_1"
"SRR28148407",3.05072300691522,0.014247408858388,"1-ASB-CL-FL-4","SRR28148407","ITS","A","Cortland","Flower",4,"May","A_Cortland_4"
"SRR28148413",3.05725160107537,0.011672326030829,"1-ASB-PR-FL-5","SRR28148413","ITS","A","Paulared","Flower",5,"May","A_Paulared_5"
"SRR28148414",3.52981332020856,0.0166872307987069,"1-ASB-PR-FL-4","SRR28148414","ITS","A","Paulared","Flower",4,"May","A_Paulared_4"
"SRR28148415",3.38713445793482,0.0222901181246687,"1-ASB-PR-FL-3","SRR28148415","ITS","A","Paulared","Flower",3,"May","A_Paulared_3"
"SRR28148416",3.16151813786133,0.0178052779570191,"1-ASB-PR-FL-2","SRR28148416","ITS","A","Paulared","Flower",2,"May","A_Paulared_2"
"SRR28148417",2.8687269837877,0.0174647910687122,"1-ASB-PR-FL-1","SRR28148417","ITS","A","Paulared","Flower",1,"May","A_Paulared_1"
"SRR28148418",2.83706838346527,0.0240623765921484,"1-ASB-CL-FL-3","SRR28148418","ITS","A","Cortland","Flower",3,"May","A_Cortland_3"
"SRR28148436",2.86217937694978,0.0184626500515268,"1-ASB-LI-FL-2","SRR28148436","ITS","A","Liberty","Flower",2,"May","A_Liberty_2"
"SRR28148447",3.25991734716634,0.0234228037190087,"1-ASB-LI-FL-1","SRR28148447","ITS","A","Liberty","Flower",1,"May","A_Liberty_1"
"SRR28148448",3.19242592428909,0.0141419816365063,"1-ASB-CL-FL-2","SRR28148448","ITS","A","Cortland","Flower",2,"May","A_Cortland_2"
"SRR28148449",3.13197334798545,0.0174366343876399,"1-ASB-CL-FL-1","SRR28148449","ITS","A","Cortland","Flower",1,"May","A_Cortland_1"
