"SampleID","Shannon","Shannon_SD","LibraryName","SRA_Accession","Amplicon","Site","Cultivar","Compartment","Replicate","Time","TreeID"
"SRR28148270",1.84318192257317,0.0212426209471479,"2-ASB-LI-LE-5","SRR28148270","ITS","A","Liberty","Leaf",5,"July","A_Liberty_5"
"SRR28148271",1.26894062640603,0.0185733001214615,"2-ASB-LI-LE-4","SRR28148271","ITS","A","Liberty","Leaf",4,"July","A_Liberty_4"
"SRR28148272",1.40422051180818,0.02035261973956,"2-ASB-LI-LE-3","SRR28148272","ITS","A","Liberty","Leaf",3,"July","A_Liberty_3"
"SRR28148273",1.6491400727884,0.0208429776811418,"2-ASB-LI-LE-2","SRR28148273","ITS","A","Liberty","Leaf",2,"July","A_Liberty_2"
"SRR28148274",1.57375349656985,0.0183149863674874,"2-ASB-LI-LE-1","SRR28148274","ITS","A","Liberty","Leaf",1,"July","A_Liberty_1"
"SRR28148275",1.80992420948367,0.0131598936947336,"2-ASB-CL-LE-5","SRR28148275","ITS","A","Cortland","Leaf",5,"July","A_Cortland_5"
"SRR28148276",1.77687301588569,0.0162821612334816,"2-ASB-CL-LE-4","SRR28148276","ITS","A","Cortland","Leaf",4,"July","A_Cortland_4"
"SRR28148277",1.90420191560105,0.0143560694790845,"2-ASB-CL-LE-3","SRR28148277","ITS","A","Cortland","Leaf",3,"July","A_Cortland_3"
"SRR28148278",1.72983297786249,0.016124395806075,"2-ASB-CL-LE-2","SRR28148278","ITS","A","Cortland","Leaf",2,"July","A_Cortland_2"
"SRR28148279",1.81943052187561,0.0152422387854606,"2-ASB-CL-LE-1","SRR28148279","ITS","A","Cortland","Leaf",1,"July","A_Cortland_1"
"SRR28148280",3.40375898942695,0.0140584045729412,"1-ASB-CL-LE-5","SRR28148280","ITS","A","Cortland","Leaf",5,"May","A_Cortland_5"
"SRR28148281",2.74129296892128,0.0168413648948357,"1-VBS-PR-LE-5","SRR28148281","ITS","C","Paulared","Leaf",5,"May","C_Paulared_5"
"SRR28148282",2.41668779986165,0.0137556067761103,"1-VBS-PR-LE-4","SRR28148282","ITS","C","Paulared","Leaf",4,"May","C_Paulared_4"
"SRR28148283",2.81119467790804,0.0174761607846536,"1-VBS-PR-LE-3","SRR28148283","ITS","C","Paulared","Leaf",3,"May","C_Paulared_3"
"SRR28148284",2.67923607281033,0.0210008226729879,"1-VBS-PR-LE-2","SRR28148284","ITS","C","Paulared","Leaf",2,"May","C_Paulared_2"
"SRR28148285",2.69330943989851,0.016835661087767,"1-VBS-PR-LE-1","SRR28148285","ITS","C","Paulared","Leaf",1,"May","C_Paulared_1"
"SRR28148291",3.00328490985075,0.0161688251472067,"1-ASB-CL-LE-4","SRR28148291","ITS","A","Cortland","Leaf",4,"May","A_Cortland_4"
"SRR28148292",2.66155415563807,0.0155144581913639,"3-VBS-PR-LE-1","SRR28148292","ITS","C","Paulared","Leaf",1,"August","C_Paulared_1"
"SRR28148293",3.29470373671197,0.0143939633443143,"3-VBS-LI-LE-5","SRR28148293","ITS","C","Liberty","Leaf",5,"August","C_Liberty_5"
"SRR28148294",3.26239139869484,0.0143563839243978,"3-VBS-LI-LE-3","SRR28148294","ITS","C","Liberty","Leaf",3,"August","C_Liberty_3"
"SRR28148295",3.34950320244906,0.0147492924042488,"3-VBS-LI-LE-2","SRR28148295","ITS","C","Liberty","Leaf",2,"August","C_Liberty_2"
"SRR28148296",3.31731315724207,0.0157079146854999,"3-VBS-LI-LE-1","SRR28148296","ITS","C","Liberty","Leaf",1,"August","C_Liberty_1"
"SRR28148297",3.40762282484903,0.0163662078868475,"3-VBS-LI-LE-4","SRR28148297","ITS","C","Liberty","Leaf",4,"August","C_Liberty_4"
"SRR28148298",2.94698982675113,0.0167106554874691,"1-ASB-LI-LE-3","SRR28148298","ITS","A","Liberty","Leaf",3,"May","A_Liberty_3"
"SRR28148299",2.94198673588025,0.0156396667324172,"3-VBS-CL-LE-5","SRR28148299","ITS","C","Cortland","Leaf",5,"August","C_Cortland_5"
"SRR28148300",2.90921133428487,0.0166732669717643,"3-VBS-CL-LE-4","SRR28148300","ITS","C","Cortland","Leaf",4,"August","C_Cortland_4"
"SRR28148301",2.8884982343649,0.0154709925372194,"3-VBS-CL-LE-3","SRR28148301","ITS","C","Cortland","Leaf",3,"August","C_Cortland_3"
"SRR28148302",2.94591031314945,0.0150366472465887,"3-VBS-CL-LE-2","SRR28148302","ITS","C","Cortland","Leaf",2,"August","C_Cortland_2"
"SRR28148303",2.9982496698268,0.0137300666857664,"3-VBS-CL-LE-1","SRR28148303","ITS","C","Cortland","Leaf",1,"August","C_Cortland_1"
"SRR28148304",2.00797247065717,0.0173738758284128,"3-PMB-PR-LE-5","SRR28148304","ITS","B","Paulared","Leaf",5,"August","B_Paulared_5"
"SRR28148305",2.22880782800812,0.0191974461241188,"3-PMB-PR-LE-4","SRR28148305","ITS","B","Paulared","Leaf",4,"August","B_Paulared_4"
